,slug,title,description,details,imgUrl,price,discount,mrp,isMember,isAuthDealer,isFeaturedMember,membershipLevel,shopName,isDoorstepDelivery,isDeliveryFree,isTopAd,isUrgentAd,timeStamp,isVerified,isJobAd,location,adType,isLocalJob,category.id,category.name
23,toyota-land-cruiser-prado-vx-2006-for-sale-puttalam-1,Toyota Land Cruiser Prado VX 2006,"Puttalam, Cars","108,000 km",https://i.ikman-st.com/toyota-land-cruiser-prado-vx-2006-for-sale-puttalam-1/8716b18d-6a79-4ce3-9deb-6b76f39b9300/142/107/cropped.jpg,"Rs 22,000,000",0,0,False,False,False,free,,False,False,False,False,bump_up,False,False,Puttalam,for_sale,False,392,Cars
24,mitsubishi-montero-2000-for-sale-colombo-378,Mitsubishi Montero 2000,"Colombo, Cars","128,000 km",https://i.ikman-st.com/mitsubishi-montero-2000-for-sale-colombo-378/2069e93c-99be-484a-819e-6dec5c502981/142/107/cropped.jpg,"Rs 8,650,000",0,0,True,False,False,premium,CS Auto Mart,False,False,False,False,bump_up,True,False,Colombo,for_sale,False,392,Cars
0,suzuki-swift-2011-for-sale-kalutara-2,Suzuki Swift 2011,"Kalutara, Cars","48,000 km",https://i.ikman-st.com/suzuki-swift-2011-for-sale-kalutara-2/add9b474-77db-4277-b866-d22795153cc1/142/107/cropped.jpg,"Rs 3,500,000",0,0,False,False,False,free,,False,False,False,False,bump_up,False,False,Kalutara,for_sale,False,392,Cars
1,toyota-tank-2017-for-sale-gampaha-100,Toyota Tank 2017,"Gampaha, Cars","21,500 km",https://i.ikman-st.com/toyota-tank-2017-for-sale-gampaha-100/aeadcb1a-d740-41b4-a9e4-498952179267/142/107/cropped.jpg,"Rs 7,500,000",0,0,False,False,False,free,,False,False,False,False,bump_up,False,False,Gampaha,for_sale,False,392,Cars
2,toyota-prius-s-grade-2013-for-sale-colombo-421,Toyota Prius S grade 2013,"Colombo, Cars","102,500 km",https://i.ikman-st.com/toyota-prius-s-grade-2013-for-sale-colombo-421/1f545458-d4a4-42c1-996b-6085c12fdfc8/142/107/cropped.jpg,"Rs 7,250,000",0,0,True,False,False,premium,Hiruki Auto Mart,False,False,False,False,4 hours,True,False,Colombo,for_sale,False,392,Cars
3,mercedes-benz-c180-amg-cabriolet-2018-for-sale-gampaha,Mercedes Benz C180 AMG Cabriolet 2018,"Gampaha, Cars","24,300 km",https://i.ikman-st.com/mercedes-benz-c180-amg-cabriolet-2018-for-sale-gampaha/75d0def8-cb2b-496d-872f-aadecb7e477d/142/107/cropped.jpg,"Rs 27,250,000",0,0,True,False,False,plus,U.S.A. Auto Mart,False,False,False,False,bump_up,True,False,Gampaha,for_sale,False,392,Cars
4,toyota-chr-ngx50-gt-turbo-2017-for-sale-matara,Toyota CHR NGX50 GT Turbo 2017,"Matara, Cars","31,500 km",https://i.ikman-st.com/toyota-chr-ngx50-gt-turbo-2017-for-sale-matara/8ab123d7-367a-42d2-b83f-2167444a5891/142/107/cropped.jpg,"Rs 12,975,000",0,0,False,False,False,free,,False,False,False,False,bump_up,False,False,Matara,for_sale,False,392,Cars
5,nissan-sunny-n16-full-option-2002-for-sale-kandy-1,Nissan Sunny N16 Full Option 2002,"Kandy, Cars","142,000 km",https://i.ikman-st.com/nissan-sunny-n16-full-option-2002-for-sale-kandy-1/64807092-5aaa-4c45-98de-7bfebba04187/142/107/cropped.jpg,"Rs 3,575,000",0,0,True,False,False,premium,Unlimit Ads,False,False,False,False,5 hours,True,False,Kandy,for_sale,False,392,Cars
6,honda-vezel-rs-sensing-2017-for-sale-gampaha-493,Honda Vezel RS Sensing 2017,"Gampaha, Cars","59,000 km",https://i.ikman-st.com/honda-vezel-rs-sensing-2017-for-sale-gampaha-493/78e30ef6-7d38-4006-a598-76fe9456455e/142/107/cropped.jpg,"Rs 9,990,000",0,0,True,False,False,premium,ONE 2 ONE CAR SALE,False,False,False,False,5 hours,True,False,Gampaha,for_sale,False,392,Cars
7,suzuki-alto-japan-2002-for-sale-gampaha-63,Suzuki Alto Japan 2002,"Gampaha, Cars","106,000 km",https://i.ikman-st.com/suzuki-alto-japan-2002-for-sale-gampaha-63/f99596d3-83d6-4663-b33f-e16bfa48a8e5/142/107/cropped.jpg,"Rs 2,695,000",0,0,,,,free,Sell Fast | කඳාන | MCI Ikman දැන්වීම්,False,False,False,False,bump_up,False,False,Gampaha,for_sale,False,392,Cars
